god-runtime  | 2026-06-11 20:30:02,678 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:30:05,458 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:30:05,458 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:30:05,458 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:30:05,461 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Access-Control-Allow-Headers', b'X-Stream-Output, X-Chunked-Output, X-Content-Length'), (b'Access-Control-Expose-Headers', b'X-Stream-Output, X-Chunked-Output, X-Content-Length'), (b'Content-Type', b'application/json'), (b'Server', b'kubo/0.42.0'), (b'Trailer', b'X-Stream-Error'), (b'Vary', b'Origin'), (b'X-Chunked-Output', b'1'), (b'Date', b'Thu, 11 Jun 2026 20:30:05 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:30:05,462 [INFO] httpx: HTTP Request: POST http://ipfs-node-1:5001/api/v0/add "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:30:05,462 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:30:05,473 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:30:05,473 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:30:05,473 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:30:05,473 [DEBUG] httpcore.connection: close.started
god-runtime  | 2026-06-11 20:30:05,473 [DEBUG] httpcore.connection: close.complete
god-runtime  | 2026-06-11 20:30:05,483 [DEBUG] god.memory: episode committed 6f915b69 id=ad07aadf cid=QmbB3i2huFDS
god-runtime  | 2026-06-11 20:30:05,647 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:30:05,647 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:30:05,647 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:30:05,647 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:30:05,647 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:30:05,976 [DEBUG] watchfiles.main: 3 changes detected: {(<Change.modified: 2>, '/app/data/agent_env/c998808c/c998808c-df6d-4cf5-9536-25763aa5d6e6/self/recent_actions.json'), (<Change.modified: 2>, '/app/data/agent_env/c998808c/c998808c-df6d-4cf5-9536-25763aa5d6e6/self/status.json'), (<Change.modified: 2>, '/app/data/agent_env/c998808c/c998808c-df6d-4cf5-9536-25763aa5d6e6/world/snapshot.json')}
god-runtime  | 2026-06-11 20:30:06,369 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:30:06 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:30:06,370 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:30:06,370 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:30:08,036 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:30:08,036 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:30:08,036 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:30:08,039 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:30:08,040 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:30:08,040 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:30:08,040 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:30:08,040 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
