god-runtime  | 2026-06-11 20:28:53,601 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:29:13,807 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:29:13,807 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:13,807 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:29:13,807 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:14,031 [DEBUG] watchfiles.main: 3 changes detected: {(<Change.modified: 2>, '/app/data/agent_env/79587ccb/79587ccb-c2ee-4b2d-bae7-f7e6e262db24/world/snapshot.json'), (<Change.modified: 2>, '/app/data/agent_env/79587ccb/79587ccb-c2ee-4b2d-bae7-f7e6e262db24/self/recent_actions.json'), (<Change.modified: 2>, '/app/data/agent_env/79587ccb/79587ccb-c2ee-4b2d-bae7-f7e6e262db24/self/status.json')}
god-runtime  | 2026-06-11 20:29:14,445 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:29:14 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:29:14,445 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:29:14,446 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | DEBUG:    % sending keepalive ping
god-runtime  | DEBUG:    > PING e9 6e 41 27 [binary, 4 bytes]
god-runtime  | DEBUG:    < PONG e9 6e 41 27 [binary, 4 bytes]
god-runtime  | DEBUG:    % received keepalive pong
god-runtime  | 2026-06-11 20:29:15,128 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:29:15,128 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:29:15,128 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:29:15,130 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:15,130 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:29:15,130 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:15,130 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:29:15,130 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | DEBUG:    < TEXT 'ping' [4 bytes]
god-runtime  | DEBUG:    > TEXT '{"type": "pong", "epoch": 29}' [29 bytes]
god-runtime  | 2026-06-11 20:29:16,072 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:29:16 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:29:16,072 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:29:16,072 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:17,237 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:29:17,238 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:29:17,238 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:29:17,255 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:17,256 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:29:17,256 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:17,256 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:29:17,256 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:18,199 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:29:18 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:29:18,199 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:29:18,199 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:20,564 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:29:20,564 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:29:20,565 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:29:20,565 [DEBUG] god.grounding:   Elder-Merch-8161 grounding reject: action JSON leaked into thought ΓÇö '{
god-runtime  |   "thought": "I am considering making an offer to buy one '
god-runtime  | 2026-06-11 20:29:20,566 [DEBUG] god.events: ΓåÆ world.local-dev-world-1.events.cognitive.agent.thought (seq=4597)
god-runtime  | 2026-06-11 20:29:20,577 [DEBUG] god.runner:   Elder-Merch-8161 [trader/social]: I am negotiating a deal to increase my USDC balance before next rent.
god-runtime  | DEBUG:    > TEXT '{"type": "delta", "epoch": 30, "events": [{"eve...ges": [], "agents": []}' [582 bytes]
god-runtime  | 2026-06-11 20:29:20,582 [DEBUG] httpcore.connection: connect_tcp.started host='ipfs-node-1' port=5001 local_address=None timeout=12 socket_options=None
god-runtime  | 2026-06-11 20:29:20,584 [DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7db4aa2aef50>
god-runtime  | 2026-06-11 20:29:20,584 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:20,584 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:29:20,584 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:20,584 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:29:20,584 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:20,586 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Access-Control-Allow-Headers', b'X-Stream-Output, X-Chunked-Output, X-Content-Length'), (b'Access-Control-Expose-Headers', b'X-Stream-Output, X-Chunked-Output, X-Content-Length'), (b'Content-Type', b'application/json'), (b'Server', b'kubo/0.42.0'), (b'Trailer', b'X-Stream-Error'), (b'Vary', b'Origin'), (b'X-Chunked-Output', b'1'), (b'Date', b'Thu, 11 Jun 2026 20:29:20 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:29:20,587 [INFO] httpx: HTTP Request: POST http://ipfs-node-1:5001/api/v0/add "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:29:20,587 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:20,596 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:29:20,597 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:29:20,597 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:29:20,597 [DEBUG] httpcore.connection: close.started
god-runtime  | 2026-06-11 20:29:20,597 [DEBUG] httpcore.connection: close.complete
god-runtime  | 2026-06-11 20:29:20,606 [DEBUG] god.memory: episode committed 79587ccb id=5568153a cid=QmZX9TjY7mJ3
god-runtime  | 2026-06-11 20:29:20,762 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:20,762 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:29:20,762 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:20,762 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:29:20,763 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:21,151 [DEBUG] watchfiles.main: 3 changes detected: {(<Change.modified: 2>, '/app/data/agent_env/91e965cb/91e965cb-2f8f-49d1-a536-f8873b8b3065/self/recent_actions.json'), (<Change.modified: 2>, '/app/data/agent_env/91e965cb/91e965cb-2f8f-49d1-a536-f8873b8b3065/self/status.json'), (<Change.modified: 2>, '/app/data/agent_env/91e965cb/91e965cb-2f8f-49d1-a536-f8873b8b3065/world/snapshot.json')}
god-runtime  | 2026-06-11 20:29:21,396 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:29:21 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:29:21,397 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:29:21,398 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:23,554 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:29:23,554 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:29:23,554 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:29:23,556 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:23,557 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:29:23,557 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:23,557 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:29:23,557 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:24,374 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:29:24 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:29:24,374 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:29:24,374 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:25,251 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:29:25,251 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:29:25,251 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:29:25,269 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:25,269 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:29:25,269 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:29:25,270 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:29:25,270 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | DEBUG:    > TEXT '{"type": "snapshot", "epoch": 1781209765, "agen...": "local-dev-world-1"}' [77194 bytes]
god-runtime  | 2026-06-11 20:29:26,240 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:29:26 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:29:26,241 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:29:26,241 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
