god-runtime  | 2026-06-11 20:31:10,916 [DEBUG] god.events: ΓåÆ world.local-dev-world-1.events.cognitive.agent.thought (seq=4617)
god-runtime  | 2026-06-11 20:31:13,142 [DEBUG] god.dream:   [Elder-Hook-5FE2] proposal: 'I should establish a new coalition with Agent-Synthesis-1E11 and Agent-Terra-3F1'
god-runtime  | 2026-06-11 20:31:13,142 [INFO] god.dream:   [Elder-Hook-5FE2] mutation ACCEPTED
god-runtime  | 2026-06-11 20:31:13,154 [DEBUG] god.dream:   [Elder-Hook-5FE2] dream persisted: be7a978c
god-runtime  | 2026-06-11 20:31:13,163 [DEBUG] god.dream:   [Elder-Hook-5FE2] pending mutation stored
god-runtime  | 2026-06-11 20:31:13,172 [DEBUG] god.dream: _wake_agent: f79eec5e marked awake
god-runtime  | 2026-06-11 20:31:13,172 [INFO] god.dream: DREAM END: Elder-Hook-5FE2 wakes ΓÇö slept 1 cycle(s)
god-runtime  | 2026-06-11 20:31:13,173 [DEBUG] god.events: ΓåÆ world.local-dev-world-1.events.lifecycle.dream.completed (seq=4618)
god-runtime  | 2026-06-11 20:31:13,185 [DEBUG] god.dream:   [Elder-Hook-5FE2] dream.completed event emitted
god-runtime  | 2026-06-11 20:31:13,185 [DEBUG] god.runner:   Elder-Hook-5FE2 dream: accepted=None mutation=''
god-runtime  | DEBUG:    > TEXT '{"type": "delta", "epoch": 63, "events": [{"eve...ges": [], "agents": []}' [939 bytes]
god-runtime  | 2026-06-11 20:31:13,214 [INFO] god.runner:   Elder-Ward-693F [defender] SLEEPING ΓÇö running dream cycle
god-runtime  | 2026-06-11 20:31:13,214 [INFO] god.dream: DREAM START: Elder-Ward-693F (d4b74dbb) archetype=defender emo=neutral
god-runtime  | 2026-06-11 20:31:13,223 [DEBUG] god.dream: _fetch_recent_memories: selected 6/50 for d4b74dbb
god-runtime  | 2026-06-11 20:31:13,223 [DEBUG] god.dream:   [Elder-Ward-693F] memories fetched: 6 episodes
god-runtime  | 2026-06-11 20:31:13,223 [DEBUG] god.dream:   [Elder-Ward-693F] distortion: 0 flipped, 0 counterfactual
god-runtime  | 2026-06-11 20:31:13,224 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:13,225 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:31:13,225 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:13,225 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:31:13,225 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:13,964 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:31:13 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:31:13,964 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:31:13,965 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | DEBUG:    % sending keepalive ping
god-runtime  | DEBUG:    > PING 49 83 52 c5 [binary, 4 bytes]
god-runtime  | DEBUG:    < PONG 49 83 52 c5 [binary, 4 bytes]
god-runtime  | DEBUG:    % received keepalive pong
god-runtime  | 2026-06-11 20:31:15,362 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:31:15,362 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:31:15,362 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:31:15,363 [DEBUG] god.dream: _generate_mutation_proposal LLM success: 'I should prioritize forming a coalition with Agent-Lyra-1912'
god-runtime  | 2026-06-11 20:31:15,363 [DEBUG] god.dream:   [Elder-Ward-693F] proposal: 'I should prioritize forming a coalition with Agent-Lyra-1912 to share the cost o'
god-runtime  | 2026-06-11 20:31:15,363 [INFO] god.dream:   [Elder-Ward-693F] mutation ACCEPTED
god-runtime  | 2026-06-11 20:31:15,372 [DEBUG] god.dream:   [Elder-Ward-693F] dream persisted: e394960c
god-runtime  | 2026-06-11 20:31:15,382 [DEBUG] god.dream:   [Elder-Ward-693F] pending mutation stored
god-runtime  | 2026-06-11 20:31:15,391 [DEBUG] god.dream: _wake_agent: d4b74dbb marked awake
god-runtime  | 2026-06-11 20:31:15,391 [INFO] god.dream: DREAM END: Elder-Ward-693F wakes ΓÇö slept 1 cycle(s)
god-runtime  | 2026-06-11 20:31:15,392 [DEBUG] god.events: ΓåÆ world.local-dev-world-1.events.lifecycle.dream.completed (seq=4619)
god-runtime  | 2026-06-11 20:31:15,403 [DEBUG] god.dream:   [Elder-Ward-693F] dream.completed event emitted
god-runtime  | 2026-06-11 20:31:15,403 [DEBUG] god.runner:   Elder-Ward-693F dream: accepted=None mutation=''
god-runtime  | DEBUG:    > TEXT '{"type": "delta", "epoch": 64, "events": [{"eve...ges": [], "agents": []}' [920 bytes]
god-runtime  | 2026-06-11 20:31:16,441 [INFO] god.runner: Agent cycle: 3/8 due
god-runtime  | 2026-06-11 20:31:16,452 [DEBUG] god.reproduction: reproduction gate: 1/8 eligible (top 15%, min peer earned 0.005 USDC)
god-runtime  | 2026-06-11 20:31:16,610 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:16,612 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:31:16,612 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:16,613 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:31:16,613 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:16,871 [DEBUG] watchfiles.main: 3 changes detected: {(<Change.modified: 2>, '/app/data/agent_env/a100c07a/a100c07a-5b17-42e3-a92d-46c9081baf15/self/status.json'), (<Change.modified: 2>, '/app/data/agent_env/a100c07a/a100c07a-5b17-42e3-a92d-46c9081baf15/self/recent_actions.json'), (<Change.modified: 2>, '/app/data/agent_env/a100c07a/a100c07a-5b17-42e3-a92d-46c9081baf15/world/snapshot.json')}
god-runtime  | 2026-06-11 20:31:17,255 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:31:17 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:31:17,255 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:31:17,255 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:18,391 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:31:18,392 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:31:18,392 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:31:18,394 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:18,394 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:31:18,394 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:18,395 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:31:18,395 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:19,319 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:31:19 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:31:19,319 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:31:19,319 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | DEBUG:    > TEXT '{"type": "pong", "epoch": 64, "keepalive": true}' [48 bytes]
